Feature Name,Acceptance Criteria,Build Complexity,Chapter,Dependencies,One Line Description,Priority,Stage,Status,Success Metric,Technical Notes,User Story,WI Code,Wow Factor
"Auth, Workspace & Project OS","1. Email + Google OAuth working
2. Workspace created on signup
3. Roles: Owner / Editor / Reviewer / Viewer functional
4. Projects support folders and series grouping
5. Brand kit: logo, colours, fonts, lower thirds, music slots all saveable
6. Brand kit auto-applies to new edits in workspace",Medium,Foundation,"Supabase project setup, Cloudflare R2 bucket, domain + SSL","User auth, workspace model, role system, project/folder structure, brand kit",P0 — Blocker,Stage 0 — Foundation,Not Started,100% of beta users complete setup in < 5 min. Zero auth-related support tickets in first month.,Supabase Auth + DB. Workspace model: users → workspaces → projects → sessions → edits. Brand kit stored as JSON per workspace.,"As a creator, I can sign up, create a workspace, invite team members, set my brand kit and start a project in under 5 minutes.",—,✅ Smart Execution
Sprint Mode — 45-Minute Focus Timer,"1. Sprint button in top bar — click to activate
2. Timer defaults to 45 min, adjustable to 25 / 60 min
3. Interface streamlines: hides advanced panels, shows only Cut / Caption / Export
4. All Creator Prefs auto-applied immediately on activation
5. No A/B preview, no comparison mode in Sprint
6. Gentle alarm at 5 min remaining
7. At timer end: 'Your video is ready. Publish or save draft?' prompt",Low,Speed Reinvented,"Creator Prefs, timeline, export flow",Timer-driven mode that streamlines the interface to essentials and auto-applies all preferences,P2 — Important,Stage 1 — Record,Not Started,Sprint Mode sessions complete export 2x faster than standard sessions. 80% of Sprint sessions result in a publish or draft save.,Pure UI state management — Sprint Mode is a UI flag that triggers panel visibility and panel lock. All AI defaults pre-applied via Creator Prefs. Timer runs in a Web Worker.,"As a creator paralysed by perfectionism, I want the tool to force me to finish so I actually publish.",WI-42,✅ Smart Execution
Creator Preferences — Reusable Edit Rules,"1. After any manual edit decision, toast prompt appears: 'Save as your default for [clip type]?'
2. Saveable rules: zoom level/timing, gap between cuts, caption style, lower third position, music fade duration, Sound Room preference
3. Rules stored in Creator Prefs profile per workspace
4. Settings → My Editing Style: view and edit all rules
5. Auto-applied to every new edit session in that workspace
6. Rules can be overridden per-project without deleting the global rule",Medium,Speed Reinvented,"Stage 0, timeline component, caption system","Every manual edit decision can be saved as a permanent rule — reusable logic, not repeated effort",P1 — Core,Stage 1 — Record,Not Started,Average of 5+ Creator Prefs rules saved per user by end of month 1. 50% reduction in time-to-first-edit in sessions 3+.,Creator Prefs stored as JSON object in DB per user-workspace pair. Each rule is a key-value with a scope (global / project / clip-type). Applied as defaults when new timeline is created.,"As a creator who makes the same style of video every week, I want my editing preferences remembered so I never configure the same thing twice.",WI-41,✅ Smart Execution
Design System & Component Library,"1. Colour palette, typography scale, spacing tokens documented
2. Core components built: Button, Input, Modal, Tooltip, Slider, Timeline track, Clip thumbnail, Waveform renderer
3. All components dark-mode native
4. Motion: all animations ≤ 200ms, easing cubic-bezier(0.16, 1, 0.3, 1)
5. WCAG AA accessibility minimum",Medium,Foundation,"Figma design file, Tailwind config","Dark-mode-first design system: tokens, components, motion language, timeline primitives",P0 — Blocker,Stage 0 — Foundation,Not Started,Zero design inconsistencies flagged in beta. All components documented in Storybook.,React + Tailwind + custom design tokens. Storybook for component documentation. Framer Motion for animation layer.,"As an engineer, I have a complete component library so I never make design decisions from scratch.",—,✅ Smart Execution
Vivido Frame — Virtual Cameraperson,"1. Face + body detection running at 30fps during recording
2. Three modes: Locked (tight face crop), Follow (tracks movement), Director (auto-selects)
3. Source video always saved at full resolution — crop applied virtually
4. Smooth repositioning — no jarring snaps, max 200ms transition
5. Any auto-framing decision can be overridden per-clip in edit timeline
6. Works on external cameras, not just built-in webcam",Medium,Camera Intelligence,"MediaPipe WASM, Stage 0 complete","Auto-framing from a fixed webcam — tracks face and body, keeps creator perfectly in frame",P1 — Core,Stage 1 — Record,Not Started,90% of auto-framed clips rated 'correctly framed' by creators. Zero jarring snap transitions reported in beta.,"MediaPipe FaceMesh + Pose landmarks in WASM. Virtual crop applied as a transform layer, not destructive to source. Director mode uses movement velocity to choose frame size.","As a creator who paces and gestures while recording, I want to stay perfectly framed without a cameraperson.",WI-05,⚡ Rare & Powerful
Smart Chapters — Compelling Chapter Titles,"1. Auto-triggered after transcript is generated
2. AI detects natural topic shifts and marks chapter boundaries
3. Chapter titles use emotional/narrative framing rather than descriptive labels
4. Creator can edit any chapter title inline
5. Exports as: YouTube description with timestamps / SRT chapter file / plain text
6. Preview of how chapters will look in YouTube UI shown
7. Minimum 3 chapters, maximum 20",Low,AI Co-Director,"Whisper transcription, Claude API","AI writes chapter titles that make people click deeper — not 'Introduction', but 'The day everything changed'",P2 — Important,Stage 2 — AI Edit,Not Started,Smart Chapters used in 70% of YouTube exports. Average of 8 chapters generated per video.,Claude API with prompt for 'narrative chapter title generation for YouTube'. Transcript segmentation via topic shift detection (TF-IDF or embedding similarity). Chapter timestamps mapped to transcript positions.,"As a YouTube creator, I want chapter titles that are emotionally compelling so more viewers use chapters and watch longer.",WI-21,✅ Smart Execution
Pause Intelligence — Smart Silence Removal,"1. Two-pass analysis: acoustic pass (silence detection) + context pass (NLP classification)
2. Three silence types classified: Dead Air (remove) / Dramatic Pause (keep) / Transition (shorten to 0.5s)
3. Each silence shown on timeline coded by type with override option
4. Aggressiveness slider 1–10 with Pause Intelligence active at all settings
5. Batch process entire edit in < 60s for a 30-min video
6. Creator can flip any individual silence decision with one click",Medium,Editing Reimagined,"Whisper transcription, Claude API, FFmpeg, Stage 0","Removes dead air, keeps dramatic pauses — the only silence tool that understands intent",P0 — Blocker,Stage 2 — AI Edit,Not Started,85% of creators rate Pause Intelligence as 'better than manual silence removal'. < 5% of AI decisions overridden by creators on average.,Whisper transcription → sentence-level sentiment analysis via Claude API → pause classification. Acoustic silence detection via FFmpeg silencedetect filter. Results merged per timestamp.,"As a creator, I want silence removal that is smart enough to keep the pause after 'and that's when everything changed' while cutting the gap where I was just breathing.",WI-10,⚡ Rare & Powerful
Publish Readiness Dashboard — Pre-Flight Score,"1. Dashboard appears automatically when creator clicks Publish
2. 8 checks run: audio quality, hook strength, retention prediction, caption coverage, thumbnail, format, upload time, music clearance
3. Each check shows green / amber / red with specific detail
4. Red items block publish unless manually overridden with a stated reason
5. Amber items show warning but don't block
6. All checks complete in < 15 seconds
7. Override reason stored in project history for accountability",Medium,AI Co-Director,"Claude API, FFmpeg, Whisper, thumbnail system, export system",8-point checklist before every publish — green lights across = you're good to go,P1 — Core,Stage 2 — AI Edit,Not Started,90% of publishes pass all 8 checks within 2 months of launch. 'Post-publish regret' (creator edits within 24h) drops 50%.,Audio quality via FFmpeg loudnorm + clipping detection. Hook via Claude API on first 30s transcript. Retention via ML model trained on creator data. Caption coverage via transcript-to-audio alignment. Format via metadata check.,"As a creator, I want to know my video is actually ready before I publish so I stop uploading things that could have been better.",WI-20,⚡ Rare & Powerful
Thumbnail Scout — Mid-Edit Prediction,"1. Runs automatically when edit is 80% complete (or on-demand)
2. Scans all frames of main camera track
3. Scores frames on: expression intensity, eye contact, gesture clarity, framing quality
4. Top 5 candidate frames surfaced in Thumbnail panel
5. 3 treatments per candidate: Bold overlay / Minimal / Brand Kit
6. CTR prediction shown relative to channel average (if YouTube connected)
7. One-click export at correct resolution: 1280x720 (YouTube), 1080x1350 (Instagram)
8. Custom text overlay editable before export",Medium,AI Co-Director,"FFmpeg frame extraction, MediaPipe expression analysis, brand kit, Canvas API","Vivido scans every frame, finds your best expression, generates 5 thumbnail treatments with CTR prediction",P1 — Core,Stage 2 — AI Edit,Not Started,Thumbnail Scout used in 60% of edits. Creators report 20% improvement in thumbnail CTR within 3 months.,"Frame extraction via FFmpeg at 1fps. Face expression analysis via MediaPipe or OpenCV. Treatment generation via canvas + brand kit colors/fonts. CTR prediction is a relative score, not absolute.","As a creator, I want the best thumbnail frame found for me automatically so I stop using mediocre screenshots.",WI-19,⚡ Rare & Powerful
Core Infrastructure & Storage,"1. FFmpeg WASM working in browser for preview processing
2. Cloudflare R2 for raw video/audio storage with signed URLs
3. AWS MediaConvert job queue for cloud renders
4. Auto-save triggers every 30 seconds
5. 30-day version history per edit
6. App loads in < 2s on Vercel edge",High,Foundation,"AWS account, Cloudflare account, Supabase project","FFmpeg WASM, Supabase DB, Cloudflare R2 storage, AWS MediaConvert render queue, Vercel deploy",P0 — Blocker,Stage 0 — Foundation,Not Started,Zero data loss incidents. Render queue p95 < 4 min for 10-min 1080p video. App load < 2s.,FFmpeg.wasm for browser. Electron uses native FFmpeg binary. R2 for storage. MediaConvert for final export. Version snapshots stored as diffs.,"As a creator, my videos are stored safely, render in the background and never block my workflow.",—,✅ Smart Execution
AI Trust Settings,"1. Settings panel: AI Trust Settings with all automated tasks listed
2. 7 tasks configurable at launch: silence removal, filler removal, take selection, Sound Room, caption styling, colour grade, chapter titles
3. Three trust levels per task: Full Auto / AI Suggests I Review / Always Manual
4. Settings persist per workspace
5. Visual indicator in editor showing which tasks are in which mode
6. Trust settings applied immediately — no restart needed
7. Quick preset: 'Trust AI Fully' / 'Balanced' / 'I Control Everything'",Medium,Speed Reinvented,"Creator Prefs system, all AI features in Stage 2","Set exactly how much AI does automatically vs asks first — per task, per workspace",P2 — Important,Stage 2 — AI Edit,Not Started,60% of creators customise at least 3 trust settings. 'AI feels respectful not pushy' cited in 70% of positive beta reviews.,Trust settings stored as JSON in Creator Prefs per workspace. Each automated action checks trust level before executing. Full Auto = fire and done. Suggest = show recommendation panel. Manual = open tool directly.,"As a creator who wants AI help but hates surprises, I want to define exactly when AI acts and when it asks.",WI-43,⚡ Rare & Powerful
Vivido Signal — Energy Detection,"1. Coloured ring renders around camera frame in real-time
2. Three states: green / amber / red updating at max 1s intervals
3. Energy scored from: speech pace, volume variation, filler frequency, sentence completion
4. Toggle on/off in recording settings
5. Post-recording timeline colour-coded by energy zone
6. Colour coding persists into edit view",Medium,Camera Intelligence,"Stage 0 complete, Web Audio API, ONNX runtime WASM","Real-time energy ring while recording — green = in the zone, amber = watch it, red = losing them",P1 — Core,Stage 1 — Record,Not Started,Energy detection accuracy > 80% correlation with creator self-report. 30% reduction in retakes reported by beta users.,Web Audio API for real-time audio analysis. Lightweight ONNX model running in WASM for classification. No cloud calls during recording — fully local.,"As a solo creator, I want to know while I'm recording whether I'm delivering well so I stop wasting takes.",WI-01,⚡ Rare & Powerful
Vivido Notes — Voice Note Edit Tasks,"1. Keyboard shortcut N or mic icon drops a voice note at current timestamp
2. Whisper transcribes note in < 5 seconds
3. Orange flag appears on timeline at that timestamp
4. Task card shows: transcription + suggested action buttons (Execute / Dismiss / Edit)
5. Task queue visible in sidebar showing all open notes across the project
6. Notes survive app close/reopen",Low,Speed Reinvented,"Whisper API or WASM, timeline component, Stage 0","Leave a voice note at any timestamp while editing — AI transcribes it into a task card, execute tomorrow",P1 — Core,Stage 1 — Record,Not Started,Used in 40% of edit sessions by beta users. Zero notes lost between sessions.,Web Audio API records note. Whisper API (or local Whisper WASM) transcribes. Note stored in DB with timestamp reference. Execute button triggers relevant tool action.,"As a creator editing at 2am, I want to leave myself instructions for tomorrow without losing my train of thought.",WI-32,✅ Smart Execution
Script Health Score — Pre-Recording Analyser,"1. Script input panel accessible from pre-record screen
2. Analysis runs via Claude API in < 10 seconds
3. Six checks: hook strength, sentence length, density, energy arc, CTA presence, estimated watch time
4. Inline highlighting: green / amber / red per sentence
5. AI rewrite suggestion for every red-flagged line — one-click to apply
6. Script flows into Teleprompter mode for recording
7. Analysis results saved with the project for reference",Medium,AI Co-Director,"Claude API, Teleprompter component, Stage 0",Paste your script before recording — Vivido tells you exactly which lines will lose viewers,P1 — Core,Stage 2 — AI Edit,Not Started,80% of creators who use Script Health Score report 'fewer retakes'. Average script health score improves 20% between first and fifth video.,Claude API with structured JSON output per sentence. Prompt engineered for YouTube creator context. Teleprompter renders cleaned script as scrolling overlay during recording.,"As a creator who writes scripts, I want feedback on my script before I waste time recording a version that won't perform.",WI-16,⚡ Rare & Powerful
